review_number,categoria,move_block
4216,GitCloneWizard_2,review with at least one clone,mesmo arquivo
4217,,no_clone,
4230,,no_clone,
4244,,no_clone,
4245,,no_clone,
4246,,no_clone,
4247,GitPreferenceRoot_0,review with at least one clone,arquivo diferente
4251,,no_clone,
4252,,no_clone,
4257,,no_clone,
4258,GitPreferenceRoot_1,review with at least one clone,arquivo diferente
4259,,no_clone,
4263,,no_clone,
4266,,no_clone,
4271,,no_clone,
4276,,no_clone,
4280,,no_clone,
4283,,no_clone,
4294,,no_clone,
4295,,no_clone,
4303,,no_clone,
4307,,no_clone,
4321,DecoratableResourceAdapter_0,review with at least one clone,mesmo arquivo
4322,,no_clone,
4325,,no_clone,
4329,,no_clone,
4334,,no_clone,
4335,,no_clone,
4337,,no_clone,
4351,,no_clone,
4387,,no_clone,
4405,,no_clone,
4408,,no_clone,
4416,,no_clone,
4419,,no_clone,
4429,,no_clone,
4443,,no_clone,
4452,,no_clone,
4547,,uninteresting_clone,
4567,,no_clone,
4576,,no_clone,
4584,,no_clone,
4585,,no_clone,
4587,,no_clone,
4600,,no_clone,
4603,,no_clone,
4604,,no_clone,
4605,,no_clone,
4606,,no_clone,
4607,,no_clone,
4609,,no_clone,
4611,,no_clone,
4613,,no_clone,
4619,,no_clone,
4623,,no_clone,
4636,,no_clone,
4639,,no_clone,
4643,,no_clone,
4649,,no_clone,
4652,,no_clone,
4657,,no_clone,
4660,,no_clone,
4664,,no_clone,
4670,,no_clone,
4680,,no_clone,
4683,,no_clone,
4696,,no_clone,
4700,,no_clone,
4701,,no_clone,
4703,,no_clone,
4706,,no_clone,
4711,,no_clone,
4712,,no_clone,
4723,,no_clone,
4728,,no_clone,
4733,,no_clone,
4734,,no_clone,
4738,,no_clone,
4756,,no_clone,
4781,,no_clone,
4792,,no_clone,
4793,,no_clone,
4794,,no_clone,
4795,,no_clone,
4798,,no_clone,
4801,,no_clone,
4802,,no_clone,
4805,,no_clone,
4815,,no_clone,
4835,,no_clone,
4837,,no_clone,
4840,,no_clone,
4859,GitMoveDeleteHook_0,review with at least one clone,mesmo arquivo
4860,,no_clone,
4871,,no_clone,
4874,,no_clone,
4880,GitMoveDeleteHook_0,review with at least one clone,mesmo arquivo
4910,,no_clone,
4918,,no_clone,
4920,,no_clone,
4928,,no_clone,
4950,,no_clone,
4953,,no_clone,
4961,,no_clone,
4968,,no_clone,
4975,,no_clone,
4981,,no_clone,
4987,,no_clone,
4993,AbstractSharedCommandHandler_0,review with at least one clone,arquivo diferente
4994,,no_clone,
5008,,no_clone,
5009,,no_clone,
5015,,no_clone,
5021,,no_clone,
5022,,no_clone,
5037,,uninteresting_clone,
5038,,uninteresting_clone,
5049,,no_clone,
5053,,no_clone,
5067,,no_clone,
5070,,no_clone,
5074,,no_clone,
5075,CommitFileDiffViewer_32,review with at least one clone,mesmo arquivo
5089,,no_clone,
5092,,no_clone,
5093,,no_clone,
5094,,no_clone,
5103,,no_clone,
5104,,no_clone,
5105,,no_clone,
5120,,no_clone,
5140,,no_clone,
5165,CommitGraphTable_0,review with at least one clone,mesmo arquivo
5165,GraphLabelProvider_1,review with at least one clone,mesmo arquivo
5167,,uninteresting_clone,
5179,ContextMenuHelper_0,review with at least one clone,mesmo arquivo
5183,,no_clone,
5185,,no_clone,
5198,,no_clone,
5257,,no_clone,
5279,,no_clone,
5289,,no_clone,
5300,,no_clone,
5315,,no_clone,
5333,,no_clone,
5334,,no_clone,
5335,,no_clone,
5360,,no_clone,
5364,,no_clone,
5382,,uninteresting_clone,
5519,,no_clone,
5549,,no_clone,
5560,,no_clone,
5587,,no_clone,
5643,,no_clone,
5644,,no_clone,
5657,,no_clone,
5664,,no_clone,
5752,RepositorySelection_2,review with at least one clone,mesmo arquivo
5752,RefSpecPanel_0,review with at least one clone,mesmo arquivo
5752,FindToolbar_4,review with at least one clone,mesmo arquivo
5752,FindToolbar_3,review with at least one clone,mesmo arquivo
5752,RefSpecPanel_1,review with at least one clone,mesmo arquivo
5753,,no_clone,
5766,,no_clone,
5811,,no_clone,
5812,,no_clone,
5863,,no_clone,
5872,,no_clone,
5919,,no_clone,
5920,,no_clone,
5922,,no_clone,
5927,,no_clone,
5928,,no_clone,
